ba	pɑ
tuo	tʰuɔ
nuo	nuɔ
luo	luɔ
zuo	tsuɔ
cuo	tsʰuɔ
suo	suɔ
zhuo	tʂuɔ
chuo	tʂʰuɔ
shuo	ʂuɔ
ruo	ʐuɔ
guo	kuɔ
kuo	kʰuɔ
huo	xuɔ
wo	wɔ
zhuai	tʂuai
chuai	tʂʰuai
shuai	ʂuai
guai	kuai
kuai	kʰuai
huai	xuai
wai	wai
dui	tui
tui	tʰui
zui	tsui
cui	tsʰui
sui	sui
zhui	tʂui
chui	tʂʰui
shui	ʂui
rui	ʐui
gui	kui
kui	kʰui
hui	xui
wei	wɛi
duan	tuan
tuan	tʰuan
nuan	nuan
luan	luan
zuan	tsuan
cuan	tsʰuan
suan	suan
zhuan	tʂuan
chuan	tʂʰuan
shuan	ʂuan
ruan	ʐuan
guan	kuan
kuan	kʰuan
huan	xuan
wan	wan
dun	tun
tun	tʰun
lun	lun
zun	tsun
cun	tsʰun
sun	sun
zhun	tʂun
chun	tʂʰun
shun	ʂun
run	ʐun
gun	kun
kun	kʰun
hun	xun
wen	wən
zhuang	tʂuɑŋ
chuang	tʂʰuɑŋ
shuang	ʂuɑŋ
guang	kuɑŋ
kuang	kʰuɑŋ
huang	xuɑŋ
wang	wɑŋ
weng	wəŋ
nü	ny
lü	ly
ju	tɕy
qu	tɕʰy
xu	ɕy
yu	y
nüe	nyɛ
lüe	lyɛ
jue	tɕyɛ
que	tɕʰyɛ
xue	ɕyɛ
yue	jyɛ
juan	tɕyan
quan	tɕʰyan
xuan	ɕyan
yuan	jyan
jun	tɕyn
qun	tɕʰyn
xun	ɕyn
yun	jyn
